player_id,player_name,slug,season,minutes,goals_per90,assists_per90,shots_per90,key_passes_per90,tackles_per90,interceptions_per90,clearances_per90,passes_per90,pass_accuracy_pct,saves_per90,rating
334576,Lucas Martínez Quarta,l-martinez-quarta,2025-26,1341,0.067,0,0.94,0.27,1.88,1.54,4.3,65.03,87.3,0,
334896,Jalal Hassan,jalal-hassan,2025-26,750,0,0,0,0,0.12,0,1.44,25.44,66.5,1.92,6.17
335521,Facundo Medina,f-medina-335521,2025-26,1367,0,0.066,0.263,0.461,1.251,1.646,3.555,68.669,91.4,0,6.9
335673,Exequiel Palacios,e-palacios,2025-26,1097,0,0.082,0.82,1.067,1.723,0.738,1.641,96.727,90.7,0,6.91
336133,Phil Foden,p-foden,2025-26,2086,0.302,0.216,2.373,2.373,1.51,0.475,0.518,52.205,88.2,0,7.27
337394,Jules Koundé,j-kounde,2025-26,2259,0.04,0.12,0.558,0.916,1.873,1.275,2.191,76.574,91.6,0,6.99
340342,Brahim Díaz,b-abdelkader-diaz,2025-26,1253,0.072,0.431,1.077,2.155,1.149,0.144,0.287,38.14,90.6,0,6.87
390543,Samet Akaydin,s-akaydin,2025-26,2571,0.105,0.035,0.595,0.455,1.82,2.17,6.791,46.593,86.7,0,7.07
410849,Yazeed Abulaila,yazeed-abulaila,2025-26,450,0,0,0,0,0.2,0,1,19,57.9,3.2,6.75
411996,Ahmed Basil Fadhil,ahmed-basil-fadhil,2025-26,450,0,0,0,0,0,0,1,28.6,67.1,1.8,6.12
418401,Dennis Eckert Ayensa,d-eckert-ayensa,2025-26,1987,0.226,0,1.449,0.815,0.815,0.272,1.449,21.062,67.7,0,6.7
430355,Montassar Talbi,m-talbi,2025-26,2610,0,0.034,0.483,0.276,0.759,0.897,6.483,49.828,89.2,0,6.81
430403,Krépin Diatta,k-diatta,2025-26,1009,0,0.089,0.624,1.16,2.765,1.427,2.676,40.852,78.4,0,6.8
432720,Dylan Batubinsika,d-batubinsika,2025-26,1143,0,0,0.24,0.08,0.63,1.65,6.85,45.43,89.9,0,
432782,Samuel Moutoussamy,samuel-moutoussamy,2025-26,2093,0.129,0,0.82,0.9,1.51,0.65,1.42,51.39,85.5,0,6.77
433075,Elisha Owusu,e-owusu-433075,2025-26,2350,0,0,0.268,0.46,2.643,0.996,1.8,33.128,81,0,6.71
433169,Pape Gueye,p-gueye,2025-26,2069,0.217,0.043,1.87,0.957,1.609,1.479,2.566,45.37,80.3,0,6.97
433194,Yahia Fofana,y-fofana-433194,2025-26,2430,0,0.037,0,0.037,0.037,0.037,0.815,30.815,65.7,3.296,6.83
433458,Amine Gouiri,a-gouiri,2025-26,1331,0.541,0.203,2.569,2.164,0.811,0.203,0.203,27.859,83.3,0,7.07
433483,Samir Chergui,s-chergui,2025-26,1155,0.078,0,1.013,0.234,1.403,0.935,2.494,43.714,90,0,6.71
438751,Altay Bayındır,a-bayindir,2025-26,540,0,0,0,0.167,0,0,1.167,29.5,60.5,2.167,6.44
446377,Tarek Salman,t-salman,2025-26,1632,0,0.055,0.28,0.5,1.6,0.33,2.7,47.21,88.4,0,6.59
447092,Álvaro Fidalgo,a-fidalgo-fernandez,2025-26,1538,0.059,0,0.7,1.52,1.64,0.41,0.99,74.79,90.9,0,7.02
447104,Luca Zidane,l-zidane,2025-26,1080,0,0,0,0.08,0,0,0.92,44.5,80.1,2.92,7.06
448389,Ferran Torres,f-torres-garcia,2025-26,1973,0.73,0.091,3.147,1.095,0.365,0.182,0.456,21.485,75.8,0,7
448422,Seung-ho Paik,s-paik,2025-26,3374,0.107,0.027,1.067,1.04,1.574,1.014,1.574,44.947,85.4,0,6.94
448448,Marc Cucurella,m-cucurella,2025-26,2709,0.033,0.133,0.664,1.296,1.86,1.13,2.957,48.007,87.8,0,6.85
450031,Zeki Çelik,m-celik,2025-26,2732,0.033,0.066,0.725,0.955,2.108,0.791,2.24,44.374,85.2,0,6.83
453075,Saleem Obaid,saleem-obaid,2025-26,501,0,0,0.18,0,1.44,1.08,3.23,35.21,79.1,0,6.49
453084,Mahmoud Al-Mardi,mahmoud-al-mardi,2025-26,450,0.2,0.2,3,1.6,1.4,0.2,0.4,20.8,65.4,0,6.8
455376,Scott McTominay,s-mctominay,2025-26,2793,0.354,0.097,3.255,0.709,0.934,0.741,1.547,42.825,88.9,0,7.16
455748,Félix Torres,f-torres-caicedo,2025-26,858,0.105,0,0.52,0.31,1.57,2.1,4.83,44.06,83.8,0,6.95
455797,Felix Horn Myhre,f-horn-myhre,2025-26,831,0.108,0.108,0.542,0.65,0.975,0.108,0.65,25.235,82.4,0,6.77
455900,Nahuel Molina,n-molina-lucero,2025-26,1305,0.138,0.138,1.034,1.448,2.759,0.897,2.138,47.103,80.7,0,6.8
458682,Jørgen Strand Larsen,j-strand-larsen,2025-26,1402,0.064,0.064,1.348,0.449,0.385,0.193,1.476,16.69,65,0,6.51
459145,Bruno Guimarães,b-guimaraes-rodriguez-moura,2025-26,2459,0.329,0.183,1.537,1.684,2.269,0.622,1.318,53.144,86.2,0,7.32
459480,Hjalmar Ekdal,h-ekdal,2025-26,1540,0,0,0.351,0.234,1.403,0.701,7.305,39.799,85.2,0,6.68
459653,Santiago Bueno,s-bueno-sciutto,2025-26,2553,0.106,0.035,0.353,0.353,1.798,0.987,4.089,38.214,86.4,0,6.75
459660,Romano Schmid,r-schmid,2025-26,2993,0.12,0.241,1.714,2.676,1.413,0.391,0.451,43.752,76.2,0,7.08
461027,Ao Tanaka,a-tanaka,2025-26,1318,0.137,0.068,1.161,1.366,1.912,1.502,1.024,47.117,85.5,0,6.81
461496,Frantzdy Pierrot,f-pierrot,2025-26,536,0.336,0.336,3.02,0.84,0.34,0.17,1.34,11.59,65.2,0,6.57
461522,Ahmed Fatouh,a-aboel-fettoh,2025-26,841,0.107,0.321,0.96,1.93,1.71,0.64,1.07,38.74,79.8,0,6.87
464990,Muteb Al-Mufarrij,m-al-mufarrij,2025-26,1846,0,0.049,0.39,0.2,1.95,1.37,4.73,38.61,89,0,6.8
465580,Hiroki Ito,h-ito,2025-26,921,0.098,0.293,0.977,0.586,0.391,1.368,3.616,78.958,91.1,0,6.84
466063,Joaquín Piquerez,j-piquerez-moreira,2025-26,462,0,0.195,0.97,0.97,2.34,0.97,3.31,33.51,82.6,0,6.81
466999,Mohamed Amine Ben Hamida,mohamed-amine-ben-hamida,2025-26,900,0,0.2,0,1,1.5,1.4,2.8,39.8,78.6,0,7.3
467567,Roger Ibañez,r-ibanez-da-silva,2025-26,2201,0.082,0.082,1.14,0.45,1.14,0.98,3.97,46.53,85.6,0,7.15
468327,Jáminton Campaz,j-campaz,2025-26,731,0.123,0.492,3.94,2.71,1.48,0.25,0.25,29.43,81.2,0,
469717,Ronald Araujo,r-araujo-da-silva,2025-26,1062,0.254,0,1.017,0.254,1.78,0.847,3.22,70.932,92,0,6.77
471304,Alan Franco,a-franco-palma,2025-26,1126,0,0.08,0.4,0.56,1.6,1.44,1.2,34.45,88.4,0,6.96
471485,Keisuke Osako,k-osako,2025-26,3420,0,0,0,0.03,0.05,0.03,1.03,27.53,48,2.26,6.77
474354,Mousa Tamari,m-al-tamari,2025-26,2226,0.243,0.243,2.588,1.415,1.092,0.445,0.243,25.836,81.2,0,6.91
496775,Pedro Neto,p-lomba-neto,2025-26,2641,0.17,0.204,1.568,1.874,0.647,0.239,0.443,31.693,87.3,0,6.96
512165,Orlando Mosquera,o-mosquera,2025-26,2700,0,0,0,0.07,0,0,1.13,31.9,71.1,3.03,6.7
512560,Amir Murillo,m-murillo-bermudez,2025-26,988,0.182,0.091,0.82,1.002,1.913,0.547,1.731,44.271,86,0,6.81
512743,Adalberto Carrasquilla,a-carrasquilla-alcazar,2025-26,2460,0.073,0.183,1.02,1.5,0.84,0.77,0.55,47.23,82.4,0,6.87
512926,José Luis Rodríguez,j-rodriguez-francis,2025-26,2936,0.123,0.276,1.56,1.93,1.01,0.4,0.71,26.73,84.5,0,6.88
512975,César Blackman,c-blackman,2025-26,520,0.173,0,0.519,1.038,1.558,0.865,2.25,42.75,85,0,7.04
513103,Andrés Andrade,andres-andrade,2025-26,990,0.09,0,0.91,0.82,2.73,0.82,7.18,51.64,79,0,7.3
515685,Umar Eshmurodov,umar-eshmurodov,2025-26,624,0,0.288,0.29,0.29,0.87,1.44,4.9,36.78,87.8,0,6.7
516245,Meschack Elia,m-elia,2025-26,813,0.332,0,1.55,1.328,1.107,0.554,0.111,26.79,83.1,0,6.7
